cone1,cone2,cone3,center1x,center1y,center2x,center2y,center3x,center3y,slice_index
244.6895446777344,317.89697265625,334.4530029296875,873.5557250976562,,1663.7735595703125,,117.04470825195312,285.9848937988281,344
,,323.5694274902344,,,,,125.35574340820312,286.666748046875,348
271.29421997070307,317.9335327148437,325.60577392578125,874.4390869140625,1599.6080322265625,1662.2825927734375,,123.58096313476562,287.1808166503906,352
,,323.6191711425781,,,,,121.91201782226562,286.28143310546875,357
,,324.9189147949219,,,,,122.25848388671876,286.8928527832031,361
,,325.0451354980469,,,,,122.9506378173828,286.20098876953125,365
,,334.3429870605469,,,,,113.65093231201172,285.47576904296875,369
,,333.3551025390625,,,,,118.32750701904295,285.7290344238281,373
,,325.083984375,,,,,121.56568908691406,287.1141052246094,378
,279.5805053710937,325.69854736328125,,,1666.736328125,302.1319274902344,119.01879119873048,284.37921142578125,382
,291.4618835449219,321.33697509765625,,,1658.1151123046875,305.27294921875,119.86872863769533,281.27407836914057,386
,,323.6568298339844,,,,,121.74686431884766,284.415771484375,390
,,330.3653869628906,,,,,115.23200988769533,284.1330261230469,394
,,326.2267150878906,,,,,118.60784912109376,284.615478515625,399
,,321.9332275390625,,,,,121.63668823242188,284.9950561523437,403
,,323.150634765625,,,,,114.7076416015625,283.4689636230469,407
,,321.97393798828125,,,,,120.63259887695312,284.60552978515625,411
,,326.2099304199219,,,,,119.92180633544922,284.7457580566406,415
,,323.2066345214844,,,,,119.0391616821289,284.8578186035156,420
,307.643310546875,,,,1667.2972412109375,308.6134338378906,,,424
,,322.93878173828125,,,,,120.09033203125,285.2231750488281,428
,,318.9635314941406,,,,,120.4825439453125,285.4879150390625,432
,,316.1169128417969,,,,,122.29137420654295,284.6759338378906,436
,,326.19207763671875,,,,,108.05827331542967,273.65557861328125,440
,,319.51239013671875,,,,,120.07557678222656,284.8645324707031,445
254.1881256103516,282.8325500488281,314.2021179199219,877.678466796875,1603.22509765625,1668.8203125,308.01092529296875,119.5953369140625,280.80349731445307,449
,,329.3326110839844,,,,,115.1777572631836,284.1015930175781,453
,,322.6861572265625,,,,,115.39195251464844,283.9442749023437,457
,,310.1441955566406,,,,,123.01683044433594,282.393798828125,461
268.3798217773437,309.11407470703125,315.61920166015625,875.5274658203125,1601.2042236328125,1665.4659423828125,308.34356689453125,120.66448974609376,284.2670288085937,466
,,310.77935791015625,,,,,122.87023162841795,282.7287902832031,470
256.68096923828125,301.6964111328125,310.4405517578125,876.609619140625,1599.734130859375,1664.0418701171875,306.4747009277344,123.07429504394533,283.207275390625,474
247.02731323242188,306.7880859375,322.01593017578125,876.2355346679688,1594.09814453125,1665.8707275390625,307.2899169921875,116.0497589111328,283.3561706542969,478
291.9073791503906,302.4715881347656,312.8035583496094,879.4540405273438,1614.050537109375,1662.38671875,306.45965576171875,118.44938659667967,283.8216247558594,482
284.3544616699219,304.5323181152344,317.0238647460937,877.1982421875,1610.7559814453125,1665.29248046875,307.86737060546875,118.77140808105467,283.9056701660156,487
275.068115234375,305.963623046875,318.997802734375,872.6365356445312,1605.1217041015625,1664.7362060546875,307.4544982910156,115.56539916992188,282.9544677734375,491
