Height,height_Predicted
0.8200000000000001,2.7585775511150787
0.8240000000000001,2.757634996014346
0.8280000000000001,2.756692440913613
0.8320000000000001,2.7557498858128797
0.8360000000000001,2.7548073307121466
0.84,2.7538647756114134
0.844,2.7529222205106803
0.848,2.751979665409947
0.852,2.751037110309214
0.856,2.7500945552084812
0.86,2.749152000107748
0.864,2.748209445007015
0.868,2.7472668899062818
0.872,2.7463243348055486
0.876,2.7453817797048155
0.88,2.7444392246040823
0.884,2.743496669503349
0.888,2.742554114402616
0.892,2.741611559301883
0.896,2.74066900420115
0.9,2.739726449100417
0.904,2.738783893999684
0.908,2.7378413388989506
0.912,2.7368987837982175
0.916,2.7359562286974843
0.92,2.735013673596751
0.924,2.734071118496018
0.928,2.733128563395285
0.932,2.732186008294552
0.936,2.731243453193819
