Cone,Index,Height,width_Predicted
cone_0,108,0.436,2.7774615119532156
cone_0,109,0.44,2.7765142075179736
cone_0,110,0.444,2.7755669030827317
cone_0,111,0.448,2.7746195986474897
cone_0,112,0.452,2.773672294212248
cone_0,113,0.456,2.772724989777006
cone_0,114,0.46,2.771777685341764
cone_0,115,0.464,2.770830380906522
cone_0,116,0.468,2.7698830764712805
cone_0,117,0.47200000000000003,2.7689357720360386
cone_0,118,0.47600000000000003,2.7679884676007966
cone_0,119,0.48000000000000004,2.7670411631655547
cone_0,120,0.484,2.7660938587303128
cone_0,121,0.488,2.765146554295071
cone_0,122,0.492,2.764199249859829
cone_0,123,0.496,2.763251945424587
cone_0,124,0.5,2.7623046409893455
cone_0,125,0.504,2.7613573365541035
cone_0,126,0.508,2.7604100321188616
cone_0,127,0.512,2.7594627276836197
cone_0,128,0.516,2.7585154232483777
cone_0,129,0.52,2.757568118813136
cone_0,130,0.524,2.756620814377894
cone_0,131,0.528,2.755673509942652
cone_0,132,0.532,2.75472620550741
cone_0,133,0.536,2.7537789010721685
cone_0,134,0.54,2.7528315966369266
cone_0,135,0.544,2.7518842922016846
cone_0,136,0.548,2.7509369877664427
cone_0,137,0.552,2.7499896833312008
cone_0,138,0.556,2.749042378895959
cone_0,139,0.56,2.748095074460717
cone_0,140,0.5640000000000001,2.747147770025475
cone_0,141,0.5680000000000001,2.746200465590233
cone_0,142,0.5720000000000001,2.7452531611549915
cone_0,143,0.5760000000000001,2.7443058567197496
cone_0,144,0.5800000000000001,2.7433585522845076
cone_0,145,0.584,2.7424112478492657
cone_0,146,0.588,2.7414639434140238
cone_0,147,0.592,2.740516638978782
cone_0,148,0.596,2.73956933454354
cone_0,149,0.6,2.738622030108298
cone_0,150,0.604,2.7376747256730565
cone_0,151,0.608,2.7367274212378145
cone_0,152,0.612,2.7357801168025726
cone_0,153,0.616,2.7348328123673307
cone_0,154,0.62,2.7338855079320887
cone_0,155,0.624,2.732938203496847
cone_0,156,0.628,2.731990899061605
cone_0,157,0.632,2.731043594626363
cone_0,158,0.636,2.7300962901911214
cone_0,159,0.64,2.7291489857558795
cone_0,160,0.644,2.7282016813206376
cone_0,161,0.648,2.7272543768853956
cone_0,162,0.652,2.7263070724501537
cone_0,163,0.656,2.7253597680149118
cone_0,164,0.66,2.72441246357967
cone_0,165,0.664,2.723465159144428
cone_0,166,0.668,2.722517854709186
cone_0,167,0.672,2.7215705502739445
cone_0,168,0.676,2.7206232458387025
cone_0,169,0.68,2.7196759414034606
cone_0,170,0.684,2.7187286369682186
cone_0,171,0.6880000000000001,2.7177813325329767
cone_0,172,0.6920000000000001,2.7168340280977348
cone_0,173,0.6960000000000001,2.715886723662493
cone_0,174,0.7000000000000001,2.714939419227251
cone_0,175,0.7040000000000001,2.713992114792009
cone_0,176,0.708,2.7130448103567675
cone_0,177,0.712,2.7120975059215255
cone_0,178,0.716,2.7111502014862836
cone_0,179,0.72,2.7102028970510417
cone_0,180,0.724,2.7092555926157997
cone_0,181,0.728,2.708308288180558
