Cone,Index,Height,height_Predicted
cone_0,119,0.48000000000000004,2.756006267107145
cone_0,120,0.484,2.755060301622314
cone_0,121,0.488,2.754114336137483
cone_0,122,0.492,2.7531683706526517
cone_0,123,0.496,2.752222405167821
cone_0,124,0.5,2.75127643968299
cone_0,125,0.504,2.750330474198159
cone_0,126,0.508,2.749384508713328
cone_0,127,0.512,2.748438543228497
cone_0,128,0.516,2.747492577743666
cone_0,129,0.52,2.746546612258835
cone_0,130,0.524,2.745600646774004
cone_0,131,0.528,2.7446546812891732
cone_0,132,0.532,2.7437087158043423
cone_0,133,0.536,2.7427627503195113
cone_0,134,0.54,2.74181678483468
cone_0,135,0.544,2.740870819349849
cone_0,136,0.548,2.739924853865018
cone_0,137,0.552,2.738978888380187
cone_0,138,0.556,2.738032922895356
cone_0,139,0.56,2.737086957410525
cone_0,140,0.5640000000000001,2.7361409919256943
cone_0,141,0.5680000000000001,2.7351950264408633
cone_0,142,0.5720000000000001,2.7342490609560324
cone_0,143,0.5760000000000001,2.7333030954712014
cone_0,144,0.5800000000000001,2.7323571299863705
cone_0,145,0.584,2.7314111645015395
cone_0,146,0.588,2.7304651990167086
cone_0,147,0.592,2.729519233531877
cone_0,148,0.596,2.7285732680470463
cone_0,149,0.6,2.7276273025622153
cone_0,150,0.604,2.7266813370773844
cone_0,151,0.608,2.7257353715925534
cone_0,152,0.612,2.7247894061077225
cone_0,153,0.616,2.7238434406228915
cone_0,154,0.62,2.7228974751380606
cone_0,155,0.624,2.7219515096532296
cone_0,156,0.628,2.7210055441683987
cone_0,157,0.632,2.7200595786835677
cone_0,158,0.636,2.719113613198737
cone_0,159,0.64,2.718167647713906
cone_0,160,0.644,2.7172216822290745
cone_0,161,0.648,2.7162757167442435
cone_0,162,0.652,2.7153297512594126
cone_0,163,0.656,2.7143837857745816
cone_0,164,0.66,2.7134378202897507
cone_0,165,0.664,2.7124918548049197
cone_0,166,0.668,2.7115458893200888
cone_0,167,0.672,2.710599923835258
cone_0,168,0.676,2.709653958350427
cone_0,169,0.68,2.708707992865596
cone_0,170,0.684,2.707762027380765
cone_0,171,0.6880000000000001,2.706816061895934
cone_0,172,0.6920000000000001,2.705870096411103
cone_0,173,0.6960000000000001,2.7049241309262717
cone_0,174,0.7000000000000001,2.7039781654414408
cone_0,175,0.7040000000000001,2.70303219995661
cone_0,176,0.708,2.702086234471779
cone_0,177,0.712,2.701140268986948
cone_0,178,0.716,2.700194303502117
cone_0,179,0.72,2.699248338017286
cone_0,180,0.724,2.698302372532455
cone_0,181,0.728,2.697356407047624
cone_0,182,0.732,2.696410441562793
cone_0,183,0.736,2.6954644760779622
cone_0,184,0.74,2.6945185105931313
cone_0,185,0.744,2.6935725451083004
cone_0,186,0.748,2.692626579623469
cone_0,187,0.752,2.691680614138638
cone_0,188,0.756,2.690734648653807
cone_0,189,0.76,2.689788683168976
cone_0,190,0.764,2.688842717684145
cone_0,191,0.768,2.6878967521993142
cone_0,192,0.772,2.6869507867144833
cone_0,193,0.776,2.6860048212296523
cone_0,194,0.78,2.6850588557448214
cone_0,195,0.784,2.6841128902599904
cone_0,196,0.788,2.6831669247751595
cone_0,197,0.792,2.6822209592903286
cone_0,198,0.796,2.6812749938054976
cone_0,199,0.8,2.680329028320666
cone_0,200,0.804,2.6793830628358353
cone_0,201,0.808,2.6784370973510043
cone_0,202,0.812,2.6774911318661734
cone_0,203,0.8160000000000001,2.6765451663813424
cone_0,204,0.8200000000000001,2.6755992008965115
cone_0,205,0.8240000000000001,2.6746532354116805
cone_0,206,0.8280000000000001,2.6737072699268496
cone_0,207,0.8320000000000001,2.6727613044420186
cone_0,208,0.8360000000000001,2.6718153389571877
cone_0,209,0.84,2.6708693734723568
cone_0,210,0.844,2.669923407987526
cone_0,211,0.848,2.668977442502695
cone_0,212,0.852,2.6680314770178635
cone_0,213,0.856,2.6670855115330325
cone_0,214,0.86,2.6661395460482016
cone_0,215,0.864,2.6651935805633706
cone_0,216,0.868,2.6642476150785397
cone_0,217,0.872,2.6633016495937087
cone_0,218,0.876,2.662355684108878
cone_0,219,0.88,2.661409718624047
cone_0,220,0.884,2.660463753139216
cone_0,221,0.888,2.659517787654385
cone_0,222,0.892,2.658571822169554
cone_0,223,0.896,2.657625856684723
cone_0,224,0.9,2.656679891199892
cone_0,225,0.904,2.6557339257150607
cone_0,226,0.908,2.65478796023023
cone_0,227,0.912,2.653841994745399
cone_0,228,0.916,2.652896029260568
cone_0,229,0.92,2.651950063775737
cone_0,230,0.924,2.651004098290906
cone_0,231,0.928,2.650058132806075
cone_0,232,0.932,2.649112167321244
cone_0,233,0.936,2.648166201836413
cone_0,234,0.9400000000000001,2.647220236351582
cone_0,235,0.9440000000000001,2.6462742708667513
cone_0,236,0.9480000000000001,2.6453283053819203
cone_0,237,0.9520000000000001,2.644382339897089
cone_0,238,0.9560000000000001,2.643436374412258
cone_0,239,0.9600000000000001,2.642490408927427
cone_0,240,0.964,2.641544443442596
cone_0,241,0.968,2.640598477957765
cone_0,242,0.972,2.639652512472934
cone_0,243,0.976,2.6387065469881033
cone_0,244,0.98,2.6377605815032723
cone_0,245,0.984,2.6368146160184414
cone_0,246,0.988,2.6358686505336104
cone_0,247,0.992,2.6349226850487795
cone_0,248,0.996,2.6339767195639485
cone_0,249,1.0,2.6330307540791176
cone_0,250,1.004,2.6320847885942866
cone_0,251,1.008,2.6311388231094552
cone_0,252,1.012,2.6301928576246243
cone_0,253,1.016,2.6292468921397933
cone_0,254,1.02,2.6283009266549624
cone_0,255,1.024,2.6273549611701315
cone_0,256,1.028,2.6264089956853005
cone_0,257,1.032,2.6254630302004696
cone_0,258,1.036,2.6245170647156386
cone_0,259,1.04,2.6235710992308077
cone_0,260,1.044,2.6226251337459767
