Height,width_Predicted
0.8200000000000001,2.7409845222857396
0.8240000000000001,2.7400492713134073
0.8280000000000001,2.7391140203410744
0.8320000000000001,2.738178769368742
0.8360000000000001,2.7372435183964092
0.84,2.736308267424077
0.844,2.7353730164517445
0.848,2.7344377654794116
0.852,2.7335025145070793
0.856,2.7325672635347464
0.86,2.731632012562414
0.864,2.7306967615900817
0.868,2.729761510617749
0.872,2.7288262596454165
0.876,2.7278910086730837
0.88,2.7269557577007513
0.884,2.7260205067284184
0.888,2.725085255756086
0.892,2.7241500047837537
0.896,2.723214753811421
0.9,2.7222795028390885
0.904,2.7213442518667557
0.908,2.7204090008944233
0.912,2.7194737499220905
0.916,2.718538498949758
0.92,2.7176032479774257
0.924,2.716667997005093
0.928,2.7157327460327605
0.932,2.7147974950604277
0.936,2.7138622440880953
