image_name,cluster_label,width,height,center
MM_final_0047.tif,0,708.0,698.0,"[3317.0, 2374.0]"
MM_final_0047.tif,1,586.0,719.0,"[303.0, 2331.5]"
MM_final_0047.tif,2,725.0,523.0,"[1749.5, 4897.5]"
MM_final_0048.tif,1,584.0,719.0,"[303.0, 2331.5]"
MM_final_0048.tif,0,709.0,698.0,"[3317.5, 2373.0]"
MM_final_0048.tif,2,725.0,523.0,"[1749.5, 4897.5]"
MM_final_0049.tif,1,584.0,719.0,"[303.0, 2330.5]"
MM_final_0049.tif,0,706.0,698.0,"[3317.0, 2372.0]"
MM_final_0049.tif,2,725.0,523.0,"[1749.5, 4897.5]"
MM_final_0050.tif,1,585.0,721.0,"[302.5, 2330.5]"
MM_final_0050.tif,0,709.0,698.0,"[3316.5, 2373.0]"
MM_final_0050.tif,2,723.0,533.0,"[1749.5, 4902.5]"
MM_final_0051.tif,0,708.0,699.0,"[3317.0, 2372.5]"
MM_final_0051.tif,1,585.0,720.0,"[302.5, 2330.0]"
MM_final_0051.tif,2,721.0,523.0,"[1748.5, 4897.5]"
MM_final_0052.tif,0,704.0,700.0,"[3319.0, 2372.0]"
MM_final_0052.tif,1,584.0,718.0,"[302.0, 2330.0]"
MM_final_0052.tif,2,719.0,524.0,"[1747.5, 4897.0]"
MM_final_0053.tif,0,700.0,701.0,"[3322.0, 2371.5]"
MM_final_0053.tif,1,584.0,718.0,"[302.0, 2330.0]"
MM_final_0053.tif,2,720.0,523.0,"[1745.0, 4896.5]"
MM_final_0054.tif,0,699.0,705.0,"[3322.5, 2371.5]"
MM_final_0054.tif,1,584.0,718.0,"[302.0, 2330.0]"
MM_final_0054.tif,2,719.0,523.0,"[1745.5, 4896.5]"
MM_final_0055.tif,0,694.0,702.0,"[3323.0, 2372.0]"
MM_final_0055.tif,1,584.0,717.0,"[302.0, 2331.5]"
MM_final_0055.tif,2,719.0,524.0,"[1746.5, 4897.0]"
MM_final_0056.tif,1,583.0,716.0,"[302.5, 2333.0]"
MM_final_0056.tif,0,693.0,704.0,"[3323.5, 2373.0]"
MM_final_0056.tif,2,719.0,523.0,"[1746.5, 4897.5]"
MM_final_0057.tif,1,583.0,715.0,"[302.5, 2333.5]"
MM_final_0057.tif,0,693.0,703.0,"[3321.5, 2373.5]"
MM_final_0057.tif,2,719.0,520.0,"[1746.5, 4899.0]"
MM_final_0058.tif,1,583.0,716.0,"[302.5, 2334.0]"
MM_final_0058.tif,0,691.0,701.0,"[3319.5, 2373.5]"
MM_final_0058.tif,2,719.0,516.0,"[1747.5, 4901.0]"
MM_final_0059.tif,1,582.0,716.0,"[302.0, 2334.0]"
MM_final_0059.tif,0,693.0,703.0,"[3319.5, 2372.5]"
MM_final_0059.tif,2,720.0,515.0,"[1748.0, 4901.5]"
MM_final_0060.tif,1,582.0,717.0,"[302.0, 2334.5]"
MM_final_0060.tif,0,691.0,701.0,"[3320.5, 2372.5]"
MM_final_0060.tif,2,720.0,515.0,"[1748.0, 4901.5]"
MM_final_0061.tif,0,691.0,700.0,"[3320.5, 2373.0]"
MM_final_0061.tif,1,583.0,717.0,"[301.5, 2333.5]"
MM_final_0061.tif,2,720.0,514.0,"[1748.0, 4902.0]"
MM_final_0062.tif,0,691.0,699.0,"[3320.5, 2373.5]"
MM_final_0062.tif,1,584.0,717.0,"[302.0, 2333.5]"
MM_final_0062.tif,2,720.0,514.0,"[1748.0, 4902.0]"
MM_final_0063.tif,1,584.0,720.0,"[302.0, 2334.0]"
MM_final_0063.tif,0,690.0,698.0,"[3321.0, 2373.0]"
MM_final_0063.tif,2,718.0,514.0,"[1747.0, 4901.0]"
MM_final_0064.tif,0,691.0,700.0,"[3321.5, 2373.0]"
MM_final_0064.tif,1,583.0,717.0,"[302.5, 2333.5]"
MM_final_0064.tif,2,719.0,515.0,"[1747.5, 4900.5]"
MM_final_0065.tif,0,690.0,701.0,"[3322.0, 2372.5]"
MM_final_0065.tif,1,584.0,716.0,"[302.0, 2333.0]"
MM_final_0065.tif,2,720.0,516.0,"[1747.0, 4901.0]"
MM_final_0066.tif,0,691.0,702.0,"[3323.5, 2373.0]"
MM_final_0066.tif,1,584.0,716.0,"[302.0, 2333.0]"
MM_final_0066.tif,2,719.0,517.0,"[1746.5, 4900.5]"
MM_final_0067.tif,1,585.0,715.0,"[302.5, 2332.5]"
MM_final_0067.tif,0,688.0,702.0,"[3323.0, 2373.0]"
MM_final_0067.tif,2,719.0,518.0,"[1745.5, 4900.0]"
MM_final_0068.tif,0,688.0,703.0,"[3322.0, 2373.5]"
MM_final_0068.tif,1,582.0,712.0,"[302.0, 2333.0]"
MM_final_0068.tif,2,717.0,518.0,"[1745.5, 4900.0]"
MM_final_0069.tif,0,685.0,700.0,"[3319.5, 2373.0]"
MM_final_0069.tif,1,581.0,711.0,"[301.5, 2333.5]"
MM_final_0069.tif,2,716.0,529.0,"[1746.0, 4904.5]"
MM_final_0070.tif,0,690.0,701.0,"[3321.0, 2373.5]"
MM_final_0070.tif,1,583.0,713.0,"[302.5, 2333.5]"
MM_final_0070.tif,2,714.0,528.0,"[1746.0, 4905.0]"
MM_final_0071.tif,0,690.0,699.0,"[3321.0, 2372.5]"
MM_final_0071.tif,1,582.0,713.0,"[302.0, 2333.5]"
MM_final_0071.tif,2,713.0,528.0,"[1746.5, 4905.0]"
MM_final_0072.tif,0,691.0,697.0,"[3321.5, 2372.5]"
MM_final_0072.tif,1,583.0,714.0,"[302.5, 2333.0]"
MM_final_0072.tif,2,712.0,528.0,"[1747.0, 4905.0]"
MM_final_0073.tif,0,692.0,695.0,"[3322.0, 2371.5]"
MM_final_0073.tif,1,583.0,714.0,"[302.5, 2333.0]"
MM_final_0073.tif,2,712.0,528.0,"[1747.0, 4905.0]"
MM_final_0074.tif,0,692.0,695.0,"[3322.0, 2371.5]"
MM_final_0074.tif,1,583.0,713.0,"[302.5, 2332.5]"
MM_final_0074.tif,2,712.0,529.0,"[1747.0, 4904.5]"
MM_final_0075.tif,0,692.0,694.0,"[3323.0, 2372.0]"
MM_final_0075.tif,1,583.0,712.0,"[302.5, 2332.0]"
MM_final_0075.tif,2,713.0,519.0,"[1746.5, 4899.5]"
MM_final_0076.tif,0,690.0,696.0,"[3324.0, 2374.0]"
MM_final_0076.tif,1,582.0,711.0,"[302.0, 2332.5]"
MM_final_0076.tif,2,713.0,520.0,"[1745.5, 4899.0]"
MM_final_0077.tif,1,582.0,710.0,"[301.0, 2332.0]"
MM_final_0077.tif,0,692.0,697.0,"[3325.0, 2372.5]"
MM_final_0077.tif,2,714.0,530.0,"[1746.0, 4904.0]"
MM_final_0078.tif,1,581.0,709.0,"[301.5, 2332.5]"
MM_final_0078.tif,0,691.0,694.0,"[3325.5, 2373.0]"
MM_final_0078.tif,2,716.0,531.0,"[1746.0, 4903.5]"
MM_final_0079.tif,1,582.0,711.0,"[302.0, 2333.5]"
MM_final_0079.tif,0,692.0,697.0,"[3325.0, 2373.5]"
MM_final_0079.tif,2,715.0,531.0,"[1746.5, 4903.5]"
MM_final_0080.tif,1,585.0,712.0,"[302.5, 2334.0]"
MM_final_0080.tif,0,693.0,695.0,"[3325.5, 2373.5]"
MM_final_0080.tif,2,715.0,530.0,"[1746.5, 4904.0]"
MM_final_0081.tif,1,583.0,711.0,"[302.5, 2334.5]"
MM_final_0081.tif,0,694.0,695.0,"[3325.0, 2374.5]"
MM_final_0081.tif,2,713.0,529.0,"[1746.5, 4904.5]"
MM_final_0082.tif,1,583.0,711.0,"[302.5, 2334.5]"
MM_final_0082.tif,0,694.0,694.0,"[3324.0, 2374.0]"
MM_final_0082.tif,2,712.0,518.0,"[1747.0, 4900.0]"
MM_final_0083.tif,1,583.0,712.0,"[302.5, 2335.0]"
MM_final_0083.tif,0,695.0,695.0,"[3323.5, 2373.5]"
MM_final_0083.tif,2,713.0,518.0,"[1747.5, 4900.0]"
MM_final_0084.tif,1,583.0,709.0,"[302.5, 2334.5]"
MM_final_0084.tif,0,694.0,695.0,"[3323.0, 2373.5]"
MM_final_0084.tif,2,713.0,518.0,"[1747.5, 4900.0]"
MM_final_0085.tif,1,583.0,711.0,"[302.5, 2334.5]"
MM_final_0085.tif,0,691.0,693.0,"[3322.5, 2373.5]"
MM_final_0085.tif,2,715.0,518.0,"[1747.5, 4900.0]"
MM_final_0086.tif,1,583.0,712.0,"[302.5, 2335.0]"
MM_final_0086.tif,0,690.0,692.0,"[3323.0, 2373.0]"
MM_final_0086.tif,2,715.0,517.0,"[1747.5, 4900.5]"
MM_final_0087.tif,1,584.0,712.0,"[302.0, 2335.0]"
MM_final_0087.tif,0,691.0,693.0,"[3322.5, 2373.5]"
MM_final_0087.tif,2,714.0,517.0,"[1747.0, 4900.5]"
MM_final_0088.tif,1,583.0,712.0,"[302.5, 2335.0]"
MM_final_0088.tif,0,692.0,693.0,"[3323.0, 2373.5]"
MM_final_0088.tif,2,715.0,517.0,"[1746.5, 4899.5]"
MM_final_0089.tif,1,584.0,711.0,"[303.0, 2334.5]"
MM_final_0089.tif,0,692.0,697.0,"[3324.0, 2373.5]"
MM_final_0089.tif,2,716.0,517.0,"[1747.0, 4899.5]"
MM_final_0090.tif,1,584.0,711.0,"[302.0, 2334.5]"
MM_final_0090.tif,0,689.0,695.0,"[3325.5, 2373.5]"
MM_final_0090.tif,2,717.0,519.0,"[1746.5, 4899.5]"
MM_final_0091.tif,1,583.0,710.0,"[302.5, 2335.0]"
MM_final_0091.tif,0,688.0,695.0,"[3326.0, 2373.5]"
MM_final_0091.tif,2,717.0,519.0,"[1747.5, 4899.5]"
MM_final_0092.tif,1,585.0,710.0,"[302.5, 2335.0]"
MM_final_0092.tif,0,688.0,695.0,"[3326.0, 2373.5]"
MM_final_0092.tif,2,715.0,519.0,"[1747.5, 4899.5]"
MM_final_0093.tif,1,583.0,708.0,"[302.5, 2335.0]"
MM_final_0093.tif,0,689.0,697.0,"[3325.5, 2373.5]"
MM_final_0093.tif,2,714.0,517.0,"[1748.0, 4900.5]"
MM_final_0094.tif,0,689.0,697.0,"[3324.5, 2374.5]"
MM_final_0094.tif,1,582.0,704.0,"[302.0, 2334.0]"
MM_final_0094.tif,2,715.0,515.0,"[1748.5, 4901.5]"
MM_final_0095.tif,1,582.0,703.0,"[302.0, 2334.5]"
MM_final_0095.tif,0,688.0,698.0,"[3324.0, 2374.0]"
MM_final_0095.tif,2,715.0,514.0,"[1748.5, 4901.0]"
MM_final_0096.tif,1,582.0,705.0,"[302.0, 2333.5]"
MM_final_0096.tif,0,688.0,697.0,"[3323.0, 2373.5]"
MM_final_0096.tif,2,715.0,514.0,"[1748.5, 4901.0]"
MM_final_0097.tif,1,582.0,706.0,"[302.0, 2333.0]"
MM_final_0097.tif,0,688.0,697.0,"[3323.0, 2373.5]"
MM_final_0097.tif,2,714.0,513.0,"[1749.0, 4900.5]"
MM_final_0098.tif,1,584.0,710.0,"[302.0, 2333.0]"
MM_final_0098.tif,0,693.0,698.0,"[3323.5, 2374.0]"
MM_final_0098.tif,2,715.0,514.0,"[1748.5, 4901.0]"
MM_final_0099.tif,1,583.0,707.0,"[302.5, 2332.5]"
MM_final_0099.tif,0,690.0,696.0,"[3324.0, 2374.0]"
MM_final_0099.tif,2,713.0,515.0,"[1747.5, 4900.5]"
MM_final_0100.tif,0,691.0,695.0,"[3324.5, 2374.5]"
MM_final_0100.tif,1,583.0,704.0,"[302.5, 2332.0]"
MM_final_0100.tif,2,711.0,515.0,"[1746.5, 4900.5]"
MM_final_0101.tif,1,583.0,707.0,"[302.5, 2333.5]"
MM_final_0101.tif,0,692.0,696.0,"[3325.0, 2375.0]"
MM_final_0101.tif,2,709.0,516.0,"[1745.5, 4900.0]"
MM_final_0102.tif,1,583.0,708.0,"[302.5, 2333.0]"
MM_final_0102.tif,0,690.0,694.0,"[3326.0, 2375.0]"
MM_final_0102.tif,2,709.0,517.0,"[1745.5, 4899.5]"
MM_final_0103.tif,1,584.0,707.0,"[302.0, 2332.5]"
MM_final_0103.tif,0,689.0,696.0,"[3324.5, 2375.0]"
MM_final_0103.tif,2,711.0,517.0,"[1746.5, 4899.5]"
MM_final_0104.tif,1,583.0,708.0,"[302.5, 2333.0]"
MM_final_0104.tif,0,688.0,694.0,"[3325.0, 2375.0]"
