image_name,cluster_label,width
final_full_stack0082.tif,0,694.0
final_full_stack0082.tif,1,591.0
final_full_stack0083.tif,1,591.0
final_full_stack0083.tif,0,696.0
final_full_stack0083.tif,2,713.0
final_full_stack0084.tif,1,591.0
final_full_stack0119.tif,2,708.0
final_full_stack0120.tif,1,591.0
final_full_stack0120.tif,2,710.0
final_full_stack0121.tif,2,710.0
final_full_stack0121.tif,1,590.0
final_full_stack0122.tif,1,590.0
final_full_stack0122.tif,2,712.0
final_full_stack0123.tif,1,592.0
final_full_stack0123.tif,2,708.0
final_full_stack0123.tif,0,681.0
final_full_stack0124.tif,2,708.0
final_full_stack0124.tif,0,682.0
final_full_stack0124.tif,1,593.0
final_full_stack0125.tif,2,707.0
final_full_stack0125.tif,0,682.0
final_full_stack0125.tif,1,593.0
final_full_stack0126.tif,0,684.0
final_full_stack0126.tif,1,593.0
final_full_stack0126.tif,2,708.0
final_full_stack0127.tif,0,680.0
final_full_stack0127.tif,2,708.0
final_full_stack0127.tif,1,593.0
final_full_stack0128.tif,1,593.0
final_full_stack0128.tif,2,709.0
final_full_stack0128.tif,0,681.0
final_full_stack0129.tif,2,710.0
final_full_stack0129.tif,1,591.0
final_full_stack0129.tif,0,680.0
final_full_stack0130.tif,1,590.0
final_full_stack0130.tif,0,682.0
final_full_stack0130.tif,2,710.0
final_full_stack0131.tif,0,680.0
final_full_stack0131.tif,2,707.0
final_full_stack0131.tif,1,588.0
final_full_stack0132.tif,1,588.0
final_full_stack0132.tif,2,710.0
final_full_stack0132.tif,0,682.0
final_full_stack0133.tif,2,710.0
final_full_stack0133.tif,0,683.0
final_full_stack0133.tif,1,586.0
final_full_stack0134.tif,1,586.0
final_full_stack0134.tif,0,682.0
final_full_stack0134.tif,2,709.0
final_full_stack0135.tif,2,707.0
final_full_stack0135.tif,1,577.0
final_full_stack0135.tif,0,681.0
final_full_stack0136.tif,0,680.0
final_full_stack0136.tif,2,710.0
final_full_stack0136.tif,1,577.0
final_full_stack0137.tif,0,678.0
final_full_stack0137.tif,2,709.0
final_full_stack0137.tif,1,589.0
final_full_stack0138.tif,2,708.0
final_full_stack0138.tif,0,678.0
final_full_stack0138.tif,1,590.0
final_full_stack0139.tif,0,680.0
final_full_stack0139.tif,2,705.0
